namn,längd,bredd,färg
Anita,22.0,5.5,#e74c3c
Astral Dream,23.0,5.75,#3498db
BB King,15.0,4.2,#2ecc71
Dolly,16.0,5.6,#f39c12
Duen,23.0,4.96,#9b59b6
Eggskär,21.0,4.85,#1abc9c
EMM XXIII,29.0,5.0,#e67e22
Eli,22.0,5.5,#2ecc71
Fanny,15.0,4.25,#34495e
Flink,16.0,4.0,#d35400
Gundela,9.0,2.5,#16a085
Gunfi,18.0,5.5,#e74c3c
Havden,36.0,6.9,#3498db
Helfrid,15.0,6.1,#2ecc71
Hero,20.0,5.0,#f39c12
Hervor,17.0,4.25,#9b59b6
Hilda,17.0,4.25,#1abc9c
Ingeborg,19.0,3.95,#e67e22
Jagaren,18.0,3.95,#34495e
J Charlton,39.0,5.0,#d35400
Karen Marie,17.0,4.3,#16a085
Liwumi,25.0,6.03,#e74c3c
Matilda Järnd,11.0,2.75,#3498db
Myrtel,19.0,4.75,#2ecc71
Nordland,20.0,3.75,#f39c12
Noy,15.0,3.95,#9b59b6
Oden,11.0,2.75,#1abc9c
Ran,22.0,5.5,#e67e22
Reymersholm 1,16.0,4.0,#34495e
Rim,17.0,4.25,#d35400
Sagitta,26.0,6.0,#16a085
Sigrid,19.0,3.75,#e74c3c
Sjötor,22.0,3.6,#3498db
Sleipner,13.0,3.25,#2ecc71
Stege,29.0,6.0,#f39c12
S:T Erik,24.0,5.0,#9b59b6
Uffe 2,17.0,4.24,#1abc9c
Vanja,12.0,3.0,#e67e22
Viljan,13.0,4.9,#34495e
Wolf,17.0,4.5,#d35400
Ärtan,11.0,3.0,#16a085
